date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01/01/2018,5.8,2.7,8.5,4,0,,,,,
02/01/2018,4.1,1.8,6.3,2.3,0,,,,,
03/01/2018,6.2,2.2,13.1,9.8,0,,,,,
04/01/2018,7.4,3.2,12.1,24.8,0,,,,,
05/01/2018,9.2,6.7,11.6,0.5,0,,,,,
06/01/2018,5.6,3.1,6.7,0,0,,,,,
07/01/2018,4.3,2.5,5.8,0,0,,,,,
08/01/2018,3.9,2.1,7.6,0,0,,,,,
09/01/2018,5,2.3,9.1,0,0,,,,,
10/01/2018,4.1,1.5,6.4,0,0,,,,,
11/01/2018,4.3,2.7,6.8,0,0,,,,,
12/01/2018,2.5,1.7,4.1,0,0,,,,,
13/01/2018,1.5,-1.6,3.3,0,0,,,,,
14/01/2018,-1.1,-2.9,0.5,0,0,,,,,
15/01/2018,1.2,-1.9,5.1,1.9,0,,,,,
16/01/2018,6.1,3.5,9.1,16.1,0,,,,,
17/01/2018,1.7,-0.8,4.2,4.1,0,,,,,
18/01/2018,4.4,0.8,7.6,11.2,0,,,,,
19/01/2018,3.8,1.1,6.4,0.4,0,,,,,
20/01/2018,3.2,0.9,5.7,11.2,0,,,,,
21/01/2018,2.5,-0.2,5.8,20.7,0,,,,,
22/01/2018,6.7,0.4,9.1,17.1,0,,,,,
23/01/2018,5.3,2.9,7.3,0,0,,,,,
24/01/2018,5.8,1.7,9.9,0,0,,,,,
25/01/2018,7.1,4.2,9.7,0,0,,,,,
26/01/2018,5.6,3.5,8.4,0,0,,,,,
27/01/2018,5.8,4.8,6.8,0,0,,,,,
28/01/2018,5.9,3.3,8.8,0,0,,,,,
29/01/2018,6.1,3.2,9.8,0,0,,,,,
30/01/2018,6.7,5.1,8.7,0,0,,,,,
31/01/2018,6.6,4,8.6,7.8,0,,,,,
01/02/2018,2.3,-0.2,6.9,4.2,0,,,,,
02/02/2018,1.4,-0.4,4.5,0,,,,,,
03/02/2018,0.3,-1,2.4,0.5,0,,,,,
04/02/2018,0.4,-1.6,2.7,0,0,,,,,
05/02/2018,-0.5,-2.2,2.1,0,0,,,,,
06/02/2018,-1.7,-3.1,1.6,0,0,,,,,
07/02/2018,-0.7,-2.6,0.5,1.4,0,,,,,
08/02/2018,-0.7,-1.8,0.5,0.3,10,,,,,
09/02/2018,-0.1,-0.9,1.2,0.1,0,,,,,
10/02/2018,-0.1,-1.2,1.6,0,0,,,,,
